,image_path,mask_path
0,/content/drive/MyDrive/DivergentNets/divergent-nets-main/Kvasir-SEG/images/cju0qkwl35piu0993l0dewei2.jpg,/content/drive/MyDrive/DivergentNets/divergent-nets-main/Kvasir-SEG/masks/cju0qkwl35piu0993l0dewei2.jpg
1,/content/drive/MyDrive/DivergentNets/divergent-nets-main/Kvasir-SEG/images/cju0qoxqj9q6s0835b43399p4.jpg,/content/drive/MyDrive/DivergentNets/divergent-nets-main/Kvasir-SEG/masks/cju0qoxqj9q6s0835b43399p4.jpg
2,/content/drive/MyDrive/DivergentNets/divergent-nets-main/Kvasir-SEG/images/cju0qx73cjw570799j4n5cjze.jpg,/content/drive/MyDrive/DivergentNets/divergent-nets-main/Kvasir-SEG/masks/cju0qx73cjw570799j4n5cjze.jpg
3,/content/drive/MyDrive/DivergentNets/divergent-nets-main/Kvasir-SEG/images/cju0roawvklrq0799vmjorwfv.jpg,/content/drive/MyDrive/DivergentNets/divergent-nets-main/Kvasir-SEG/masks/cju0roawvklrq0799vmjorwfv.jpg
4,/content/drive/MyDrive/DivergentNets/divergent-nets-main/Kvasir-SEG/images/cju0rx1idathl0835detmsp84.jpg,/content/drive/MyDrive/DivergentNets/divergent-nets-main/Kvasir-SEG/masks/cju0rx1idathl0835detmsp84.jpg
5,/content/drive/MyDrive/DivergentNets/divergent-nets-main/Kvasir-SEG/images/cju0s2a9ekvms080138tjjpxr.jpg,/content/drive/MyDrive/DivergentNets/divergent-nets-main/Kvasir-SEG/masks/cju0s2a9ekvms080138tjjpxr.jpg
6,/content/drive/MyDrive/DivergentNets/divergent-nets-main/Kvasir-SEG/images/cju0s690hkp960855tjuaqvv0.jpg,/content/drive/MyDrive/DivergentNets/divergent-nets-main/Kvasir-SEG/masks/cju0s690hkp960855tjuaqvv0.jpg
7,/content/drive/MyDrive/DivergentNets/divergent-nets-main/Kvasir-SEG/images/cju0sr5ghl0nd08789uzf1raf.jpg,/content/drive/MyDrive/DivergentNets/divergent-nets-main/Kvasir-SEG/masks/cju0sr5ghl0nd08789uzf1raf.jpg
8,/content/drive/MyDrive/DivergentNets/divergent-nets-main/Kvasir-SEG/images/cju0sxqiclckk08551ycbwhno.jpg,/content/drive/MyDrive/DivergentNets/divergent-nets-main/Kvasir-SEG/masks/cju0sxqiclckk08551ycbwhno.jpg
9,/content/drive/MyDrive/DivergentNets/divergent-nets-main/Kvasir-SEG/images/cju0t4oil7vzk099370nun5h9.jpg,/content/drive/MyDrive/DivergentNets/divergent-nets-main/Kvasir-SEG/masks/cju0t4oil7vzk099370nun5h9.jpg
10,/content/drive/MyDrive/DivergentNets/divergent-nets-main/Kvasir-SEG/images/cju0tl3uz8blh0993wxvn7ly3.jpg,/content/drive/MyDrive/DivergentNets/divergent-nets-main/Kvasir-SEG/masks/cju0tl3uz8blh0993wxvn7ly3.jpg
11,/content/drive/MyDrive/DivergentNets/divergent-nets-main/Kvasir-SEG/images/cju0u2g7pmnux0801vkk47ivj.jpg,/content/drive/MyDrive/DivergentNets/divergent-nets-main/Kvasir-SEG/masks/cju0u2g7pmnux0801vkk47ivj.jpg
12,/content/drive/MyDrive/DivergentNets/divergent-nets-main/Kvasir-SEG/images/cju0u82z3cuma0835wlxrnrjv.jpg,/content/drive/MyDrive/DivergentNets/divergent-nets-main/Kvasir-SEG/masks/cju0u82z3cuma0835wlxrnrjv.jpg
13,/content/drive/MyDrive/DivergentNets/divergent-nets-main/Kvasir-SEG/images/cju0ue769mxii08019zqgdbxn.jpg,/content/drive/MyDrive/DivergentNets/divergent-nets-main/Kvasir-SEG/masks/cju0ue769mxii08019zqgdbxn.jpg
14,/content/drive/MyDrive/DivergentNets/divergent-nets-main/Kvasir-SEG/images/cju0vtox5ain6099360pu62rp.jpg,/content/drive/MyDrive/DivergentNets/divergent-nets-main/Kvasir-SEG/masks/cju0vtox5ain6099360pu62rp.jpg
15,/content/drive/MyDrive/DivergentNets/divergent-nets-main/Kvasir-SEG/images/cju1alwgo30z60855fm3y23sm.jpg,/content/drive/MyDrive/DivergentNets/divergent-nets-main/Kvasir-SEG/masks/cju1alwgo30z60855fm3y23sm.jpg
16,/content/drive/MyDrive/DivergentNets/divergent-nets-main/Kvasir-SEG/images/cju1amqw6p8pw0993d9gc5crl.jpg,/content/drive/MyDrive/DivergentNets/divergent-nets-main/Kvasir-SEG/masks/cju1amqw6p8pw0993d9gc5crl.jpg
17,/content/drive/MyDrive/DivergentNets/divergent-nets-main/Kvasir-SEG/images/cju1aqqv02qwz0878a5cyhr67.jpg,/content/drive/MyDrive/DivergentNets/divergent-nets-main/Kvasir-SEG/masks/cju1aqqv02qwz0878a5cyhr67.jpg
18,/content/drive/MyDrive/DivergentNets/divergent-nets-main/Kvasir-SEG/images/cju1ats0y372e08011yazcsxm.jpg,/content/drive/MyDrive/DivergentNets/divergent-nets-main/Kvasir-SEG/masks/cju1ats0y372e08011yazcsxm.jpg
19,/content/drive/MyDrive/DivergentNets/divergent-nets-main/Kvasir-SEG/images/cju1b0y2e396p08558ois175d.jpg,/content/drive/MyDrive/DivergentNets/divergent-nets-main/Kvasir-SEG/masks/cju1b0y2e396p08558ois175d.jpg
20,/content/drive/MyDrive/DivergentNets/divergent-nets-main/Kvasir-SEG/images/cju1b3zgj3d8e0801kpolea6c.jpg,/content/drive/MyDrive/DivergentNets/divergent-nets-main/Kvasir-SEG/masks/cju1b3zgj3d8e0801kpolea6c.jpg
21,/content/drive/MyDrive/DivergentNets/divergent-nets-main/Kvasir-SEG/images/cju1b75x63ddl0799sdp0i2j3.jpg,/content/drive/MyDrive/DivergentNets/divergent-nets-main/Kvasir-SEG/masks/cju1b75x63ddl0799sdp0i2j3.jpg
22,/content/drive/MyDrive/DivergentNets/divergent-nets-main/Kvasir-SEG/images/cju1bhnfitmge0835ynls0l6b.jpg,/content/drive/MyDrive/DivergentNets/divergent-nets-main/Kvasir-SEG/masks/cju1bhnfitmge0835ynls0l6b.jpg
23,/content/drive/MyDrive/DivergentNets/divergent-nets-main/Kvasir-SEG/images/cju1bm8063nmh07996rsjjemq.jpg,/content/drive/MyDrive/DivergentNets/divergent-nets-main/Kvasir-SEG/masks/cju1bm8063nmh07996rsjjemq.jpg
24,/content/drive/MyDrive/DivergentNets/divergent-nets-main/Kvasir-SEG/images/cju1brhsj3rls0855a1vgdlen.jpg,/content/drive/MyDrive/DivergentNets/divergent-nets-main/Kvasir-SEG/masks/cju1brhsj3rls0855a1vgdlen.jpg
25,/content/drive/MyDrive/DivergentNets/divergent-nets-main/Kvasir-SEG/images/cju1c0qb4tzi308355wtsnp0y.jpg,/content/drive/MyDrive/DivergentNets/divergent-nets-main/Kvasir-SEG/masks/cju1c0qb4tzi308355wtsnp0y.jpg
26,/content/drive/MyDrive/DivergentNets/divergent-nets-main/Kvasir-SEG/images/cju1c4fcu40hl07992b8gj0c8.jpg,/content/drive/MyDrive/DivergentNets/divergent-nets-main/Kvasir-SEG/masks/cju1c4fcu40hl07992b8gj0c8.jpg
