,image_path,mask_path
0,/content/drive/MyDrive/DivergentNets/divergent-nets-main/PolypGen2021_MultiCenterData/data_C3/images_C3/C3_EndoCV2021_001.jpg,/content/drive/MyDrive/DivergentNets/divergent-nets-main/PolypGen2021_MultiCenterData/data_C3/masks_C3/C3_EndoCV2021_001_mask.jpg
1,/content/drive/MyDrive/DivergentNets/divergent-nets-main/PolypGen2021_MultiCenterData/data_C3/images_C3/C3_EndoCV2021_002.jpg,/content/drive/MyDrive/DivergentNets/divergent-nets-main/PolypGen2021_MultiCenterData/data_C3/masks_C3/C3_EndoCV2021_002_mask.jpg
2,/content/drive/MyDrive/DivergentNets/divergent-nets-main/PolypGen2021_MultiCenterData/data_C3/images_C3/C3_EndoCV2021_003.jpg,/content/drive/MyDrive/DivergentNets/divergent-nets-main/PolypGen2021_MultiCenterData/data_C3/masks_C3/C3_EndoCV2021_003_mask.jpg
3,/content/drive/MyDrive/DivergentNets/divergent-nets-main/PolypGen2021_MultiCenterData/data_C3/images_C3/C3_EndoCV2021_004.jpg,/content/drive/MyDrive/DivergentNets/divergent-nets-main/PolypGen2021_MultiCenterData/data_C3/masks_C3/C3_EndoCV2021_004_mask.jpg
4,/content/drive/MyDrive/DivergentNets/divergent-nets-main/PolypGen2021_MultiCenterData/data_C3/images_C3/C3_EndoCV2021_005.jpg,/content/drive/MyDrive/DivergentNets/divergent-nets-main/PolypGen2021_MultiCenterData/data_C3/masks_C3/C3_EndoCV2021_005_mask.jpg
5,/content/drive/MyDrive/DivergentNets/divergent-nets-main/PolypGen2021_MultiCenterData/data_C3/images_C3/C3_EndoCV2021_006.jpg,/content/drive/MyDrive/DivergentNets/divergent-nets-main/PolypGen2021_MultiCenterData/data_C3/masks_C3/C3_EndoCV2021_006_mask.jpg
6,/content/drive/MyDrive/DivergentNets/divergent-nets-main/PolypGen2021_MultiCenterData/data_C3/images_C3/C3_EndoCV2021_007.jpg,/content/drive/MyDrive/DivergentNets/divergent-nets-main/PolypGen2021_MultiCenterData/data_C3/masks_C3/C3_EndoCV2021_007_mask.jpg
7,/content/drive/MyDrive/DivergentNets/divergent-nets-main/PolypGen2021_MultiCenterData/data_C3/images_C3/C3_EndoCV2021_008.jpg,/content/drive/MyDrive/DivergentNets/divergent-nets-main/PolypGen2021_MultiCenterData/data_C3/masks_C3/C3_EndoCV2021_008_mask.jpg
8,/content/drive/MyDrive/DivergentNets/divergent-nets-main/PolypGen2021_MultiCenterData/data_C3/images_C3/C3_EndoCV2021_009.jpg,/content/drive/MyDrive/DivergentNets/divergent-nets-main/PolypGen2021_MultiCenterData/data_C3/masks_C3/C3_EndoCV2021_009_mask.jpg
9,/content/drive/MyDrive/DivergentNets/divergent-nets-main/PolypGen2021_MultiCenterData/data_C3/images_C3/C3_EndoCV2021_0010.jpg,/content/drive/MyDrive/DivergentNets/divergent-nets-main/PolypGen2021_MultiCenterData/data_C3/masks_C3/C3_EndoCV2021_0010_mask.jpg
