,image_path,mask_path
0,/content/drive/MyDrive/DivergentNets/divergent-nets-main/PolypGen2021_MultiCenterData/sequenceData/positive/seq14/images_seq14/EndoCV2021_seq14_0.jpg,/content/drive/MyDrive/DivergentNets/divergent-nets-main/PolypGen2021_MultiCenterData/sequenceData/positive/seq14/masks_seq14/EndoCV2021_seq14_0_mask.jpg
1,/content/drive/MyDrive/DivergentNets/divergent-nets-main/PolypGen2021_MultiCenterData/sequenceData/positive/seq14/images_seq14/EndoCV2021_seq14_4.jpg,/content/drive/MyDrive/DivergentNets/divergent-nets-main/PolypGen2021_MultiCenterData/sequenceData/positive/seq14/masks_seq14/EndoCV2021_seq14_4_mask.jpg
2,/content/drive/MyDrive/DivergentNets/divergent-nets-main/PolypGen2021_MultiCenterData/sequenceData/positive/seq14/images_seq14/EndoCV2021_seq14_8.jpg,/content/drive/MyDrive/DivergentNets/divergent-nets-main/PolypGen2021_MultiCenterData/sequenceData/positive/seq14/masks_seq14/EndoCV2021_seq14_8_mask.jpg
3,/content/drive/MyDrive/DivergentNets/divergent-nets-main/PolypGen2021_MultiCenterData/sequenceData/positive/seq14/images_seq14/EndoCV2021_seq14_12.jpg,/content/drive/MyDrive/DivergentNets/divergent-nets-main/PolypGen2021_MultiCenterData/sequenceData/positive/seq14/masks_seq14/EndoCV2021_seq14_12_mask.jpg
4,/content/drive/MyDrive/DivergentNets/divergent-nets-main/PolypGen2021_MultiCenterData/sequenceData/positive/seq14/images_seq14/EndoCV2021_seq14_16.jpg,/content/drive/MyDrive/DivergentNets/divergent-nets-main/PolypGen2021_MultiCenterData/sequenceData/positive/seq14/masks_seq14/EndoCV2021_seq14_16_mask.jpg
5,/content/drive/MyDrive/DivergentNets/divergent-nets-main/PolypGen2021_MultiCenterData/sequenceData/positive/seq14/images_seq14/EndoCV2021_seq14_20.jpg,/content/drive/MyDrive/DivergentNets/divergent-nets-main/PolypGen2021_MultiCenterData/sequenceData/positive/seq14/masks_seq14/EndoCV2021_seq14_20_mask.jpg
6,/content/drive/MyDrive/DivergentNets/divergent-nets-main/PolypGen2021_MultiCenterData/sequenceData/positive/seq14/images_seq14/EndoCV2021_seq14_24.jpg,/content/drive/MyDrive/DivergentNets/divergent-nets-main/PolypGen2021_MultiCenterData/sequenceData/positive/seq14/masks_seq14/EndoCV2021_seq14_24_mask.jpg
7,/content/drive/MyDrive/DivergentNets/divergent-nets-main/PolypGen2021_MultiCenterData/sequenceData/positive/seq14/images_seq14/EndoCV2021_seq14_28.jpg,/content/drive/MyDrive/DivergentNets/divergent-nets-main/PolypGen2021_MultiCenterData/sequenceData/positive/seq14/masks_seq14/EndoCV2021_seq14_28_mask.jpg
8,/content/drive/MyDrive/DivergentNets/divergent-nets-main/PolypGen2021_MultiCenterData/sequenceData/positive/seq14/images_seq14/EndoCV2021_seq14_32.jpg,/content/drive/MyDrive/DivergentNets/divergent-nets-main/PolypGen2021_MultiCenterData/sequenceData/positive/seq14/masks_seq14/EndoCV2021_seq14_32_mask.jpg
9,/content/drive/MyDrive/DivergentNets/divergent-nets-main/PolypGen2021_MultiCenterData/sequenceData/positive/seq14/images_seq14/EndoCV2021_seq14_36.jpg,/content/drive/MyDrive/DivergentNets/divergent-nets-main/PolypGen2021_MultiCenterData/sequenceData/positive/seq14/masks_seq14/EndoCV2021_seq14_36_mask.jpg
